Date,Open,High,Low,Close,Volume
08/20/2025,"229.98","230.47","225.77","226.01","42,263,871"
08/19/2025,"231.28","232.87","229.35","230.56","39,402,559"
08/18/2025,"231.70","233.12","230.11","230.89","37,476,191"
08/15/2025,"234.00","234.28","229.34","231.59","56,038,660"
08/14/2025,"234.06","235.12","230.85","232.78","51,916,281"
08/13/2025,"231.07","235.00","230.43","233.33","69,878,555"
08/12/2025,"228.01","230.80","227.07","229.65","55,672,301"
08/11/2025,"227.92","229.56","224.76","227.18","61,806,129"
08/08/2025,"220.83","231.00","219.25","229.35","113,854,000"
08/07/2025,"218.88","220.85","216.58","220.03","90,224,828"
08/06/2025,"205.63","215.38","205.59","213.25","108,483,102"
08/05/2025,"203.40","205.34","202.16","202.92","44,155,078"
08/04/2025,"204.51","207.88","201.68","203.35","75,109,297"
08/01/2025,"210.87","213.58","201.50","202.38","104,434,492"
07/31/2025,"208.49","209.84","207.16","207.57","80,698,430"
07/30/2025,"211.90","212.39","207.72","209.05","45,512,512"
07/29/2025,"214.18","214.81","210.82","211.27","51,411,719"
07/28/2025,"214.03","214.85","213.06","214.05","37,858,020"
07/25/2025,"214.70","215.24","213.40","213.88","40,268,781"
07/24/2025,"213.90","215.69","213.53","213.76","46,022,621"
07/23/2025,"215.00","215.15","212.41","214.15","46,989,301"
07/22/2025,"213.14","214.95","212.23","214.40","46,404,070"
07/21/2025,"212.10","215.78","211.63","212.48","51,377,434"
07/18/2025,"210.87","211.79","209.70","211.18","48,974,594"
07/17/2025,"210.57","211.80","209.59","210.02","48,068,141"
07/16/2025,"210.30","212.40","208.64","210.16","47,490,527"
07/15/2025,"209.22","211.89","208.92","209.11","42,296,340"
07/14/2025,"209.93","210.91","207.54","208.62","38,840,113"
07/11/2025,"210.57","212.13","209.86","211.16","39,765,809"
07/10/2025,"210.51","213.48","210.03","212.41","44,443,641"
07/09/2025,"209.53","211.33","207.22","211.14","48,749,367"
07/08/2025,"210.10","211.43","208.45","210.01","42,848,930"
07/07/2025,"212.68","216.23","208.80","209.95","50,228,980"
07/03/2025,"212.15","214.65","211.81","213.55","34,955,840"
07/02/2025,"208.91","213.34","208.14","212.44","67,941,805"
07/01/2025,"206.67","210.19","206.14","207.82","78,788,875"
06/30/2025,"202.01","207.39","199.26","205.17","91,912,812"
06/27/2025,"201.89","203.22","200.00","201.08","73,188,570"
06/26/2025,"201.43","202.64","199.46","201.00","50,799,121"
06/25/2025,"201.45","203.67","200.62","201.56","39,525,727"
06/24/2025,"202.59","203.44","200.20","200.30","54,064,031"
06/23/2025,"201.63","202.30","198.96","201.50","55,814,273"
06/20/2025,"198.24","201.70","196.86","201.00","96,813,539"
06/18/2025,"195.94","197.57","195.07","196.58","45,394,688"
06/17/2025,"197.20","198.39","195.21","195.64","38,856,152"
06/16/2025,"197.30","198.69","196.56","198.42","43,020,688"
06/13/2025,"199.73","200.37","195.70","196.45","51,447,352"
06/12/2025,"199.08","199.68","197.36","199.20","43,904,641"
06/11/2025,"203.50","204.50","198.41","198.78","60,989,859"
06/10/2025,"200.60","204.35","200.57","202.67","54,672,609"
06/09/2025,"204.39","206.00","200.02","201.45","72,862,562"
06/06/2025,"203.00","205.70","202.05","203.92","46,607,688"
06/05/2025,"203.50","204.75","200.15","200.63","55,221,238"
06/04/2025,"202.91","206.24","202.10","202.82","43,603,992"
06/03/2025,"201.35","203.77","200.96","203.27","46,381,566"
06/02/2025,"200.28","202.13","200.12","201.70","35,423,289"
05/30/2025,"199.37","201.96","196.78","200.85","70,819,938"
05/29/2025,"203.58","203.81","198.51","199.95","51,477,941"
05/28/2025,"200.59","202.73","199.90","200.42","45,339,680"
05/27/2025,"198.30","200.74","197.43","200.21","56,288,480"
05/23/2025,"193.67","197.70","193.46","195.27","78,432,922"
05/22/2025,"200.71","202.75","199.70","201.36","46,742,406"
05/21/2025,"205.17","207.04","200.71","202.09","59,211,770"
05/20/2025,"207.67","208.47","205.03","206.86","42,496,641"
05/19/2025,"207.91","209.48","204.26","208.78","46,140,527"
05/16/2025,"212.36","212.57","209.77","211.26","54,737,848"
05/15/2025,"210.95","212.96","209.54","211.45","45,029,473"
05/14/2025,"212.43","213.94","210.58","212.33","49,325,832"
05/13/2025,"210.43","213.40","209.00","212.93","51,909,328"
05/12/2025,"210.97","211.27","206.75","210.79","63,775,809"
05/09/2025,"199.00","200.54","197.54","198.53","36,453,922"
05/08/2025,"197.72","200.05","194.68","197.49","50,478,871"
05/07/2025,"199.17","199.44","193.25","196.25","68,616,945"
05/06/2025,"198.21","200.65","197.02","198.51","51,216,480"
05/05/2025,"203.10","204.10","198.21","198.89","69,018,445"
05/02/2025,"206.09","206.99","202.16","205.35","101,010,602"
05/01/2025,"209.08","214.56","208.90","213.32","57,365,680"
04/30/2025,"209.30","213.58","206.67","212.50","52,286,449"
04/29/2025,"208.69","212.24","208.37","211.21","36,827,633"
04/28/2025,"210.00","211.50","207.46","210.14","38,743,070"
04/25/2025,"206.37","209.75","206.20","209.28","38,222,262"
04/24/2025,"204.89","208.83","202.94","208.37","47,310,992"
04/23/2025,"206.00","208.00","202.80","204.60","52,929,168"
04/22/2025,"196.12","201.59","195.97","199.74","52,976,367"
04/21/2025,"193.27","193.80","189.81","193.16","46,742,539"
04/18/2025,"196.98","196.98","196.98","196.98","0"
04/17/2025,"197.20","198.83","194.42","196.98","52,164,680"
04/16/2025,"198.36","200.70","192.37","194.27","59,732,422"
04/15/2025,"201.86","203.51","199.80","202.14","51,343,871"
04/14/2025,"211.44","212.94","201.16","202.52","101,352,898"
04/11/2025,"186.10","199.54","186.06","198.15","87,435,922"
04/10/2025,"189.07","194.78","183.00","190.42","121,880,000"
04/09/2025,"171.95","200.61","171.89","198.85","184,395,906"
04/08/2025,"186.70","190.34","169.21","172.42","120,859,508"
04/07/2025,"177.20","194.15","174.62","181.46","160,466,297"
04/04/2025,"193.89","199.88","187.34","188.38","125,910,898"
04/03/2025,"205.54","207.49","201.25","203.19","103,419,000"
04/02/2025,"221.32","225.19","221.02","223.89","35,905,898"
04/01/2025,"219.81","223.68","218.90","223.19","36,412,738"
03/31/2025,"217.01","225.62","216.23","222.13","65,299,320"
03/28/2025,"221.67","223.81","217.68","217.90","39,818,621"
03/27/2025,"221.39","224.99","220.56","223.85","37,094,770"
03/26/2025,"223.51","225.02","220.47","221.53","34,532,660"
03/25/2025,"220.77","224.10","220.08","223.75","34,493,578"
03/24/2025,"221.00","221.48","218.58","220.73","44,299,480"
03/21/2025,"211.56","218.84","211.28","218.27","94,127,766"
03/20/2025,"213.99","217.49","212.22","214.10","48,862,953"
03/19/2025,"214.22","218.76","213.75","215.24","54,385,391"
03/18/2025,"214.16","215.15","211.49","212.69","42,432,434"
03/17/2025,"213.31","215.22","209.97","214.00","48,073,434"
03/14/2025,"211.25","213.95","209.58","213.49","60,107,578"
03/13/2025,"215.95","216.84","208.42","209.68","61,368,328"
03/12/2025,"220.14","221.75","214.91","216.98","62,547,473"
03/11/2025,"223.81","225.84","217.45","220.84","76,137,406"
03/10/2025,"235.54","236.16","224.22","227.48","72,071,203"
03/07/2025,"235.11","241.37","234.76","239.07","46,273,566"
03/06/2025,"234.44","237.86","233.16","235.33","45,170,422"
03/05/2025,"235.42","236.55","229.23","235.74","47,227,641"
03/04/2025,"237.71","240.07","234.68","235.93","53,798,059"
03/03/2025,"241.79","244.03","236.11","238.03","47,183,992"
02/28/2025,"236.95","242.09","230.20","241.84","56,833,359"
02/27/2025,"239.41","242.46","237.06","237.30","41,153,641"
02/26/2025,"244.33","244.98","239.13","240.36","44,433,559"
02/25/2025,"248.00","250.00","244.91","247.04","48,013,273"
02/24/2025,"244.93","248.86","244.42","247.10","51,326,398"
02/21/2025,"245.95","248.69","245.22","245.55","53,197,434"
02/20/2025,"244.94","246.78","244.29","245.83","32,316,910"
02/19/2025,"244.66","246.01","243.16","244.87","32,204,221"
02/18/2025,"244.15","245.18","241.84","244.47","48,822,488"
02/14/2025,"241.25","245.55","240.99","244.60","40,896,230"
02/13/2025,"236.91","242.34","235.57","241.53","53,614,047"
02/12/2025,"231.20","236.96","230.68","236.87","45,243,289"
02/11/2025,"228.20","235.23","228.13","232.62","53,718,359"
02/10/2025,"229.57","230.59","227.20","227.65","33,115,648"
02/07/2025,"232.60","234.00","227.26","227.63","39,707,219"
02/06/2025,"231.29","233.80","230.43","233.22","29,925,350"
02/05/2025,"228.53","232.67","228.27","232.47","39,664,992"
02/04/2025,"227.25","233.13","226.65","232.80","45,067,301"
02/03/2025,"229.99","231.83","225.70","228.01","73,063,297"
01/31/2025,"247.19","247.19","233.44","236.00","101,075,102"
01/30/2025,"238.67","240.79","237.21","237.59","55,658,281"
01/29/2025,"234.12","239.86","234.01","239.36","45,486,102"
01/28/2025,"230.85","240.19","230.81","238.26","75,707,570"
01/27/2025,"224.02","232.15","223.98","229.86","94,863,422"
01/24/2025,"224.78","225.63","221.41","222.78","54,697,910"
01/23/2025,"224.74","227.03","222.30","223.66","60,234,762"
01/22/2025,"219.79","224.12","219.79","223.83","64,126,500"
01/21/2025,"224.00","224.42","219.38","222.64","98,070,430"
01/17/2025,"232.12","232.29","228.48","229.98","68,488,305"
01/16/2025,"237.35","238.01","228.03","228.26","71,759,047"
01/15/2025,"234.64","238.96","234.43","237.87","39,831,969"
01/14/2025,"234.75","236.12","232.47","233.28","39,435,289"
01/13/2025,"233.53","234.67","229.72","234.40","49,630,727"
01/10/2025,"240.01","240.16","233.00","236.85","61,710,859"
01/08/2025,"241.92","243.71","240.05","242.70","37,628,941"
01/07/2025,"242.98","245.55","241.35","242.21","40,855,961"
01/06/2025,"244.31","247.33","243.20","245.00","45,045,566"
01/03/2025,"243.36","244.18","241.89","243.36","40,244,113"
01/02/2025,"248.93","249.10","241.82","243.85","55,740,727"
12/31/2024,"252.44","253.28","249.43","250.42","39,480,719"
